Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
LOC100046116	1.228	2.486	1.285	0.772	0.138	0.281
LOC100046290	9.157	8.655	17.426	18.831	10.911	11.673
LOC100169868	3.595	1.159	2.508	2.187	1.629	0.605
LOC100233175	58.535	23.214	75.101	47.483	46.338	32.624
LOC100502582	6.219	1.807	4.913	6.462	4.118	1.782
LOC100502595	0.846	0.491	0.672	0.197	0.862	0.253
LOC100502599	1.277	0.51	0.669	0.233	1.332	0.39
LOC100502632	1.43	0.574	1.325	0.844	1.541	0.535
LOC100502641	9.296	2.642	9.91	10.312	3.285	6.723
LOC100502648	1.445	0.714	0.702	0.388	0.607	0.284
LOC100502672	3.32	1.292	3.123	2.119	3.435	1.344
LOC100502680	1.76	1.185	2.087	2.573	0.906	0.162
LOC100502697	0.764	0.479	0.5	0.178	0.816	0.33
LOC100502698	13.113	17.42	14.472	14.813	17.727	15.533
LOC100502721	2.134	1.778	2.328	0.74	3.35	1.69
LOC100502725	33.811	25.149	35.008	25.307	43.205	22.073
LOC100502732	1.03	0.564	0.738	0.197	1.097	0.282
LOC100502733	1.172	0.532	1.401	0.503	1.116	0.456
LOC100502736	4.782	1.131	4.206	1.754	2.607	1.147
LOC100502750	1.867	0.985	1.457	0.437	1.748	0.577
LOC100502756	1.579	1.353	1.767	1.307	2.836	0.788
LOC100502768	1.6	0.357	1.151	0.166	2.287	0.151
LOC100502769	3.803	1.78	2.277	0.738	3.851	0.892
LOC100502777	1.158	0.645	0.887	0.752	0.461	0.242
LOC100502781	11.504	1.879	9.387	4.04	15.297	6.036
LOC100502790	0.121	0.174	0.349	0.152	0.697	0.349
LOC100502792	0.492	0.209	0.312	0.147	0.734	0.136
LOC100502795	5.68	1.725	2.606	1.136	6.813	1.633
LOC100502825	153.983	48.393	161.35	123.836	68	90.413
LOC100502836	10.397	1.27	3.479	0.477	3.524	1.259
LOC100502841	4.472	7.423	4.082	3.792	5.438	4.366
LOC100502845	2.795	1.252	2.218	0.651	2.971	0.951
LOC100502861	1.203	0.772	1.708	0.118	1.226	1.279
LOC100502877	4.736	2.905	13.252	4.682	7.974	4.507
LOC100502897	2.319	1.735	1.584	0.472	2.601	0.995
LOC100502898	1.295	1.117	1.491	2.135	1.822	1.326
LOC100502903	0.41	0.209	0.142	0.72	0.463	0.47
LOC100502908	1.211	0.404	0.326	0.142	0.281	0.324
LOC100502936	3.209	3.695	3.778	2.816	2.038	1.942
